Cidade;valortotal;categorias
SAO BERNARDO DO CAMPO-SP;88771.89;COOL_STUFF|PET_SHOP|TELEFONIA|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|BRINQUEDOS|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|AUTOMOTIVO|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|PAPELARIA|INFORMATICA_ACESSORI|ELETRONICOS|CONSOLES_GAMES|BEBIDAS|MALAS_ACESSORIOS|ELETRODOMESTICOS|
UNAI-MG;6264.61;BRINQUEDOS|BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|ELETRONICOS|COOL_STUFF|MALAS_ACESSORIOS|BEBIDAS|INFORMATICA_ACESSORI|PERFUMARIA|ESPORTE_LAZER|AUTOMOTIVO|UTILIDADES_DOMESTICA|PET_SHOP|
LAGOA NOVA-RN;113.80;BRINQUEDOS|CAMA_MESA_BANHO|
VOLTA REDONDA-RJ;26755.65;BRINQUEDOS|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|AUTOMOTIVO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|TELEFONIA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|BELEZA_SAUDE|ELETRONICOS|INFORMATICA_ACESSORI|COOL_STUFF|BEBIDAS|PAPELARIA|ESPORTE_LAZER|MALAS_ACESSORIOS|CONSOLES_GAMES|PET_SHOP|
JANDIRA-SP;7846.48;COOL_STUFF|PAPELARIA|BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|BEBIDAS|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|ESPORTE_LAZER|PERFUMARIA|INFORMATICA_ACESSORI|FASHION_BOLSAS_E_ACE|PET_SHOP|BRINQUEDOS|AUTOMOTIVO|UTILIDADES_DOMESTICA|
SANTAREM-PA;4982.41;COOL_STUFF|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|CAMA_MESA_BANHO|ELETRONICOS|INFORMATICA_ACESSORI|BRINQUEDOS|AUTOMOTIVO|PAPELARIA|BELEZA_SAUDE|CONSOLES_GAMES|BEBIDAS|ESPORTE_LAZER|MOVEIS_DECORACAO|
MONTES CLAROS-MG;24344.85;COOL_STUFF|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|INFORMATICA_ACESSORI|PAPELARIA|ELETRONICOS|BEBIDAS|PET_SHOP|MALAS_ACESSORIOS|BRINQUEDOS|ELETRODOMESTICOS|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|MOVEIS_ESCRITORIO|
PORTO FIRME-MG;153.61;COOL_STUFF|AUTOMOTIVO|
AVARE-SP;8103.37;COOL_STUFF|BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|ELETRONICOS|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|BRINQUEDOS|RELOGIOS_PRESENTES|TELEFONIA|PERFUMARIA|PAPELARIA|ELETRODOMESTICOS|AUTOMOTIVO|PET_SHOP|FERRAMENTAS_JARDIM|
BRASILIA-DF;251839.16;COOL_STUFF|PET_SHOP|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|TELEFONIA|BELEZA_SAUDE|PERFUMARIA|FASHION_BOLSAS_E_ACE|CAMA_MESA_BANHO|BRINQUEDOS|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ELETRONICOS|ESPORTE_LAZER|BEBIDAS|MOVEIS_ESCRITORIO|MALAS_ACESSORIOS|PAPELARIA|AUTOMOTIVO|INFORMATICA_ACESSORI|CONSOLES_GAMES|ELETRODOMESTICOS|
